VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJXCAE26J,Clark,Vancouver,WA,98685,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,18,313256240,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040907
1N4BZ1DP5L,King,Renton,WA,98059,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,11,141209309,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025101
5YJSA1H1XE,King,Bellevue,WA,98007,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,212484352,POINT (-122.12053 47.61334),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023603
2C4RC1S76M,Clark,Vancouver,WA,98682,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,17,144785931,POINT (-122.55149 45.69345),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041313
5YJSA1E27F,Snohomish,Bothell,WA,98021,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,1,164797699,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
WA1G2AFY5L,King,Seattle,WA,98119,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,36,101734692,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007102
YV4ED3URIM,Clark,Ridgefield,WA,98642,2021,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,18,218281787,POINT (-122.74595 45.81539),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040301
JTDKAMFP8M,Cowlitz,Longview,WA,98632,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,19,144102290,POINT (-122.95058 46.14681),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015000602
5YJ3E1EAXL,Snohomish,Edmonds,WA,98020,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21,2967548,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050502
1G1RA6E44E,Kitsap,Poulsbo,WA,98370,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,23,334999941,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201
1G1FW6S06H,Thurston,Olympia,WA,98501,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,5296350,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011200
1N4AZ0CP2D,King,Mercer Island,WA,98040,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,41,172100029,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024602
5YJSA1DP1D,Kitsap,Bainbridge Island,WA,98110,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,23,2443710,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090902
5YJ3E1EB5K,Skagit,Anacortes,WA,98221,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,40,477247144,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940403
3FMTK3SU8M,Snohomish,Brier,WA,98036,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,144851703,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051914
YV4BC0PL9G,King,Woodinville,WA,98072,2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,45,172316175,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032307
5YJSA1E27G,Clark,Vancouver,WA,98685,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,18,475873527,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040910
1N4AZ0CP8E,King,Auburn,WA,98001,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,47,4060612,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029902
5YJYGDEF1L,Spokane,Colbert,WA,99005,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,7,180352266,POINT (-117.35414 47.83743),BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,53063010305
5YJXCDE41K,Snohomish,Monroe,WA,98272,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,39,186035454,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
5YJ3E1EAXK,King,Bellevue,WA,98006,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,41,477643225,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024904
7SAYGDEE4N,Kittitas,Ellensburg,WA,98926,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,13,209895185,POINT (-120.54872 46.99703),PUGET SOUND ENERGY INC,53037975500
WP0AD2Y10N,King,Seattle,WA,98121,2022,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,216653545,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007201
1G1RC6S5XH,Clark,Brush Prairie,WA,98606,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,17,475044447,POINT (-122.54578 45.73473),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040715
7SAYGDEE7P,Pierce,Tacoma,WA,98404,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,27,224489030,POINT (-122.41249 47.21584),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053062400
